provider,model,jobs_total,jobs_evaluated,provider_errors,pass_rate,mean_score,median_score,score_stddev,mean_latency_ms,median_latency_ms,p95_latency_ms,latency_stddev_ms,latency_tail_ratio,total_tokens,mean_tokens,token_efficiency,mean_confidence,confidence_calibration_error_pct,mean_case_surface_entropy_bits,mean_case_semantic_entropy_bits,mean_case_surface_consistency,mean_case_semantic_consistency,rank
deepseek,deepseek-v4-pro,20,20,0,100.0,100.0,100.0,0.0,37229.8,3353.5,258371.25,104181.593,77.045251,88787,4439.35,22.52582,94.9,5.1,0.180482,0.0,95.0,100.0,1
openai,gpt-5-2025-08-07,20,20,0,95.0,95.0,100.0,22.361,22838.45,6934.5,93632.7,31530.133,13.502444,34247,1712.35,55.479312,88.05,11.75,0.560964,0.180482,80.0,95.0,2
