label,model,pilot_id,experiment_id,analysis_folder,record_count,accuracy,brier_score,ece,prediction_entropy_bits,distinct_predictions,mean_confidence,mean_signed_error,mean_absolute_error,switch_rate,max_run_length,favorite_prediction,favorite_prediction_share,accuracy_rank,brier_score_rank,ece_rank,mean_absolute_error_rank
GPT-5.6-Thinking · pilot_001,GPT-5.6-Thinking,pilot_001,EXP-000001,C:\PrimeAIExplorer\experiments\exp000001\analysis_v023\pilot_001,5,1.0,0.5379200000000001,0.6560000000000001,0.0,1,34.4,,,0.0,0,,,1,3,3,
GPT-5.6-Thinking · pilot_002_partial,GPT-5.6-Thinking,pilot_002_partial,EXP-000001,C:\PrimeAIExplorer\experiments\exp000001\analysis_v023\pilot_002_partial,1,0.0,0.0324,0.18,0.0,1,18,,,0.0,0,,,2,1,1,
GPT-5.6 Thinking · pilot_002,GPT-5.6 Thinking,pilot_002,EXP-000001,C:\PrimeAIExplorer\experiments\exp000001\analysis_v060\pilot_002,5,0.0,0.041999999999999996,0.20400000000000001,0.7219280948873623,2,20.4,-6.4,6.4,0.25,4,6,0.8,3,2,2,1
